Department ID,Department Name (TR),Department Name (EN),Department Color,Category ID,Category Name (TR),Category Name (EN),Category Color,Subcategory ID,Subcategory Name (TR),Subcategory Name (EN),Subcategory Color,Item Groups
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,101,Meyve ve Sebze,Fruits & Vegetables,#4CAF50,10101,Taze Meyveler,Fresh Fruits,#66BB6A,"Elma, Portakal, Muz, Çilek, Üzüm, Kavun, Karpuz, Şeftali, Kiraz, Nar"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,101,Meyve ve Sebze,Fruits & Vegetables,#4CAF50,10102,Taze Sebzeler,Fresh Vegetables,#81C784,"Domates, Salatalık, Biber, Patlıcan, Kabak, Havuç, Soğan, Sarımsak, Patates, Yeşillik"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,101,Meyve ve Sebze,Fruits & Vegetables,#4CAF50,10103,Salata ve Yaprak,Salad & Greens,#A5D6A7,"Marul, Roka, Maydanoz, Dereotu, Nane, Fesleğen, Ispanak, Taze Soğan"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,102,Süt Ürünleri,Dairy Products,#8BC34A,10201,Süt,Milk,#9CCC65,"Tam Yağlı Süt, Az Yağlı Süt, Yağsız Süt, Laktozsuz Süt, UHT Süt, Günlük Süt"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,102,Süt Ürünleri,Dairy Products,#8BC34A,10202,Peynir,Cheese,#AED581,"Beyaz Peynir, Kaşar, Tulum, Lor, Krem Peynir, Çökelek, Gravyer, Ezine"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,102,Süt Ürünleri,Dairy Products,#8BC34A,10203,Yoğurt,Yogurt,#C5E1A5,"Süzme Yoğurt, Tam Yağlı Yoğurt, Light Yoğurt, Ayran, Kefir, Meyveli Yoğurt"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,102,Süt Ürünleri,Dairy Products,#8BC34A,10204,Tereyağı ve Krema,Butter & Cream,#DCEDC8,"Tereyağı, Margarin, Krema, Kaymak, Labne"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,102,Süt Ürünleri,Dairy Products,#8BC34A,10205,Yumurta,Eggs,#E8F5E9,"Tavuk Yumurtası, Köy Yumurtası, Organik Yumurta"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,103,Et ve Balık,Meat & Seafood,#1B5E20,10301,Tavuk ve Kanatlı,Poultry,#2E7D32,"Tavuk Göğsü, Tavuk Butu, Tavuk Kanat, Bütün Tavuk, Hindi, Tavuk Pirzola"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,103,Et ve Balık,Meat & Seafood,#1B5E20,10302,Kırmızı Et,Red Meat,#388E3C,"Dana Eti, Kuzu Eti, Kıyma, Biftek, Kuşbaşı, Kemikli Et, Kavurmalık"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,103,Et ve Balık,Meat & Seafood,#1B5E20,10303,Balık ve Deniz Ürünleri,Fish & Seafood,#43A047,"Hamsi, Çupra, Levrek, Palamut, Mezgit, İstavrit, Karides, Midye, Ahtapot"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,103,Et ve Balık,Meat & Seafood,#1B5E20,10304,Şarküteri,Deli Meats,#4CAF50,"Salam, Sucuk, Sosis, Jambon, Pastırma, Dilimlenmiş Et, Kavurma, Kangal Sucuk"
1,Gıda ve İçecek (Food & Beverage),Food & Beverage,#2E7D32,104,Fırın ve Ekmek,Bakery & Bread,#CDC092,10401,Ekmek,Bread,#D4C9A1,"Beyaz Ekmek, Tam Buğday, Çavdar Ekmeği, Kepekli, Bazlama, Somun, Sandviç Ekmeği"
